state,district,year,chloride
West Bengal,24 Paraganas North,2000,78.411766
West Bengal,24 Paraganas North,2002,98.555557
West Bengal,24 Paraganas North,2004,71.666664
West Bengal,24 Paraganas North,2005,54.861111
West Bengal,24 Paraganas North,2007,134.625
West Bengal,24 Paraganas North,2008,60.0
West Bengal,24 Paraganas North,2016,100.2
West Bengal,24 Paraganas North,2017,78.07692
West Bengal,24 Paraganas North,2018,75.126717
West Bengal,24 Paraganas South,2000,189.64516
West Bengal,24 Paraganas South,2001,169.94737
West Bengal,24 Paraganas South,2002,226.64706
West Bengal,24 Paraganas South,2004,286.90909
West Bengal,24 Paraganas South,2005,213.74286
West Bengal,24 Paraganas South,2007,193.5
West Bengal,24 Paraganas South,2009,257.65714
West Bengal,24 Paraganas South,2010,296.625
West Bengal,24 Paraganas South,2011,352.92001
West Bengal,24 Paraganas South,2012,263.30768
West Bengal,24 Paraganas South,2013,177.96364
West Bengal,24 Paraganas South,2016,255.11429
West Bengal,24 Paraganas South,2017,276.57407
West Bengal,24 Paraganas South,2018,293.66
Telangana,Adilabad,2004,65.5
Telangana,Adilabad,2005,68.25
Telangana,Adilabad,2006,76.727272
Telangana,Adilabad,2007,80.5
Telangana,Adilabad,2008,164.58333
Telangana,Adilabad,2009,145.25
Telangana,Adilabad,2010,118.36364
Telangana,Adilabad,2011,141.72728
Telangana,Adilabad,2012,55.666668
Telangana,Adilabad,2013,96.63636
Telangana,Adilabad,2014,102.72727
Telangana,Adilabad,2015,124.66666
Telangana,Adilabad,2016,145.375
Telangana,Adilabad,2017,134.16667
Telangana,Adilabad,2018,78.0
Uttar Pradesh,Agra,2000,799.5
Uttar Pradesh,Agra,2002,263.25
Uttar Pradesh,Agra,2004,598.40002
Uttar Pradesh,Agra,2005,297.0
Uttar Pradesh,Agra,2016,202.93871
Uttar Pradesh,Agra,2018,220.233
Gujarat,Ahmadabad,2000,784.0
Gujarat,Ahmadabad,2001,868.09998
Gujarat,Ahmadabad,2002,1258.3077
Gujarat,Ahmadabad,2004,1417.1
Gujarat,Ahmadabad,2005,732.66669
Gujarat,Ahmadabad,2006,578.08331
Gujarat,Ahmadabad,2007,1115.5
Gujarat,Ahmadabad,2008,1135.3
Gujarat,Ahmadabad,2009,1090.7
Gujarat,Ahmadabad,2010,1359.4546
Gujarat,Ahmadabad,2011,1004.5333
Gujarat,Ahmadabad,2012,1095.8889
Gujarat,Ahmadabad,2013,985.83331
Gujarat,Ahmadabad,2014,1050.9091
Gujarat,Ahmadabad,2015,967.90002
Gujarat,Ahmadabad,2016,587.40002
Gujarat,Ahmadabad,2017,1041.7
Gujarat,Ahmadabad,2018,465.375
Maharashtra,Ahmednagar,2000,171.44827
Maharashtra,Ahmednagar,2001,188.39999
Maharashtra,Ahmednagar,2002,173.89999
Maharashtra,Ahmednagar,2004,163.70589
Maharashtra,Ahmednagar,2005,228.27777
Maharashtra,Ahmednagar,2006,186.42693
Maharashtra,Ahmednagar,2007,218.72707
Maharashtra,Ahmednagar,2008,233.78659
Maharashtra,Ahmednagar,2009,214.52499
Maharashtra,Ahmednagar,2012,185.47826
Maharashtra,Ahmednagar,2013,248.16667
Maharashtra,Ahmednagar,2014,179.86667
Maharashtra,Ahmednagar,2015,140.47368
