state,district,year,chloride,sdp
Andaman And Nicobar Islands,South Andaman,2018,55.435909,4101.785123657697
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1088.0
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1145.9644825474586
Andaman And Nicobar Islands,South Andaman,2007,313.61539,1491.0863441518677
Andaman And Nicobar Islands,South Andaman,2009,40.735294,1939.4782608695648
Andaman And Nicobar Islands,South Andaman,2010,83.5,2108.041641151255
Andaman And Nicobar Islands,South Andaman,2011,47.121212,2285.932639314145
Andaman And Nicobar Islands,South Andaman,2016,86.65625,3418.825812793277
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1145.9644825474586
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,1491.0863441518677
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,3418.825812793277
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,4101.785123657697
Andaman And Nicobar Islands,South Andaman,2012,51.342857,2389.3502734076765
Andaman And Nicobar Islands,South Andaman,2013,45.815254,2559.2506722756198
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1088.0
Andhra Pradesh,Vizianagaram,2016,152.70213,351795.5152052218
Andhra Pradesh,Vizianagaram,2017,140.7,387935.2068414944
Andhra Pradesh,Vizianagaram,2018,161.4359,411681.621427448
Andhra Pradesh,Wanaparthy,2000,303.33334,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2000,204.6875,126035.0
Andhra Pradesh,Wanaparthy,2003,53.0,147950.0
Andhra Pradesh,Warangal Urban,2000,174.25,126035.0
Andhra Pradesh,Warangal Rural,2002,118.5,134749.0
Andhra Pradesh,Vizianagaram,2015,180.63158,329277.084026477
Andhra Pradesh,Warangal Urban,2002,156.0,134749.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,225.0,251441.94139150268
Andhra Pradesh,Sri Potti Sriramulu Nellore,2011,416.02942,250455.5767950704
Andhra Pradesh,Sri Potti Sriramulu Nellore,2010,355.46875,243247.36608231455
Andhra Pradesh,Warangal Rural,2000,155.39999,126035.0
Andhra Pradesh,Vizianagaram,2014,200.89743,292494.3032993265
Andhra Pradesh,Vizianagaram,2010,198.13043,243247.36608231455
