state,district,year,chloride,sdp,gini
Andaman And Nicobar Islands,South Andaman,2018,55.435909,6108.0,0.33
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,2220.3882250072866,0.3
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1706.4645875837948,0.3
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1620.1492276304284,0.3
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,5091.0,0.3
Andaman And Nicobar Islands,South Andaman,2016,86.65625,5091.0,0.33
Andaman And Nicobar Islands,South Andaman,2013,45.815254,3811.0,0.33
Andaman And Nicobar Islands,South Andaman,2012,51.342857,3558.0,0.33
Andaman And Nicobar Islands,South Andaman,2011,47.121212,3404.0,0.33
Andaman And Nicobar Islands,South Andaman,2010,83.5,3139.101136694841,0.33
Andaman And Nicobar Islands,South Andaman,2009,40.735294,2888.092101428155,0.33
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,6108.0,0.3
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1620.1492276304284,0.33
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1706.4645875837948,0.33
Andaman And Nicobar Islands,South Andaman,2007,313.61539,2220.3882250072866,0.33
Andhra Pradesh,Guntur,2015,275.54236,446997.0,0.33
Andhra Pradesh,Chittoor,2016,277.22916,477566.0,0.31
Andhra Pradesh,Chittoor,2017,276.23334,526626.0,0.31
Andhra Pradesh,Chittoor,2018,237.8125,558862.0,0.31
Andhra Pradesh,West Godavari,2016,206.50685,477566.0,0.26
Andhra Pradesh,Vizianagaram,2008,161.68182,289919.74396775843,0.28
Andhra Pradesh,Vizianagaram,2007,150.78261,282693.9814360441,0.28
Andhra Pradesh,Vizianagaram,2006,102.0,251348.62002359648,0.28
Andhra Pradesh,Vizianagaram,2005,160.45833,227457.9878258872,0.28
Andhra Pradesh,Vizianagaram,2004,211.18182,215455.8737901584,0.28
Andhra Pradesh,Visakhapatanam,2018,148.28302,558862.0,0.42
Andhra Pradesh,Visakhapatanam,2017,142.44406,526626.0,0.42
Andhra Pradesh,Visakhapatanam,2016,124.54546,477566.0,0.42
Andhra Pradesh,Guntur,2012,295.80951,341335.0,0.33
Andhra Pradesh,Guntur,2013,376.5303,360239.0,0.33
Andhra Pradesh,Guntur,2014,353.07693,397064.0,0.33
Andhra Pradesh,Krishna,2014,414.95081,397064.0,0.33
Andhra Pradesh,Krishna,2015,452.85715,446997.0,0.33
Andhra Pradesh,Krishna,2016,458.30768,477566.0,0.33
Andhra Pradesh,Krishna,2017,428.39999,526626.0,0.33
