state,district,year,chloride,sdp,gini,predicted_chloride,residuals
Andaman And Nicobar Islands,South Andaman,2018,55.435909,6108.0,0.33,6.565311554949271,48.870597445050734
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,2220.3882250072866,0.3,2.3976060083337916,52.85239399166621
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1706.4645875837948,0.3,1.8437807519050187,33.843719248094985
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1620.1492276304284,0.3,1.7506978364494554,52.543419163550546
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,5091.0,0.3,5.478744919794957,60.43849908020504
Andaman And Nicobar Islands,South Andaman,2016,86.65625,5091.0,0.33,5.478744919845599,81.1775050801544
Andaman And Nicobar Islands,South Andaman,2013,45.815254,3811.0,0.33,4.1074576850000275,41.707796314999975
Andaman And Nicobar Islands,South Andaman,2012,51.342857,3558.0,0.33,3.8359217009524955,47.506935299047505
Andaman And Nicobar Islands,South Andaman,2011,47.121212,3404.0,0.33,3.670559296883421,43.45065270311658
Andaman And Nicobar Islands,South Andaman,2010,83.5,3139.101136694841,0.33,3.3859746969233626,80.11402530307663
Andaman And Nicobar Islands,South Andaman,2009,40.735294,2888.092101428155,0.33,3.116147541972165,37.619146458027835
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,6108.0,0.3,6.56531155489863,23.67145344510137
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1620.1492276304284,0.33,1.7506978365000965,68.5185361634999
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1706.4645875837948,0.33,1.8437807519556597,193.19193924804435
Andaman And Nicobar Islands,South Andaman,2007,313.61539,2220.3882250072866,0.33,2.397606008384433,311.21778399161553
Andhra Pradesh,Guntur,2015,275.54236,446997.0,0.33,265.12488457070964,10.417475429290334
Andhra Pradesh,Chittoor,2016,277.22916,477566.0,0.31,270.071244229627,7.157915770372995
Andhra Pradesh,Chittoor,2017,276.23334,526626.0,0.31,275.30837874090304,0.9249612590969605
Andhra Pradesh,Chittoor,2018,237.8125,558862.0,0.31,277.055329588237,-39.24282958823699
Andhra Pradesh,West Godavari,2016,206.50685,477566.0,0.26,270.0712442295426,-63.564394229542586
Andhra Pradesh,Vizianagaram,2008,161.68182,289919.74396775843,0.28,216.5229818105999,-54.841161810599914
Andhra Pradesh,Vizianagaram,2007,150.78261,282693.9814360441,0.28,213.260354605454,-62.477744605454006
Andhra Pradesh,Vizianagaram,2006,102.0,251348.62002359648,0.28,197.96624895332778,-95.96624895332778
Andhra Pradesh,Vizianagaram,2005,160.45833,227457.9878258872,0.28,185.03115355951752,-24.57282355951753
Andhra Pradesh,Vizianagaram,2004,211.18182,215455.8737901584,0.28,178.1039047338849,33.0779152661151
Andhra Pradesh,Visakhapatanam,2018,148.28302,558862.0,0.42,277.05532958842264,-128.77230958842264
Andhra Pradesh,Visakhapatanam,2017,142.44406,526626.0,0.42,275.3083787410887,-132.86431874108868
Andhra Pradesh,Visakhapatanam,2016,124.54546,477566.0,0.42,270.07124422981263,-145.52578422981264
Andhra Pradesh,Guntur,2012,295.80951,341335.0,0.33,237.00245278389295,58.80705721610704
Andhra Pradesh,Guntur,2013,376.5303,360239.0,0.33,243.36739181649745,133.16290818350257
Andhra Pradesh,Guntur,2014,353.07693,397064.0,0.33,254.05643252631958,99.02049747368042
Andhra Pradesh,Krishna,2014,414.95081,397064.0,0.33,254.05643252631958,160.8943774736804
Andhra Pradesh,Krishna,2015,452.85715,446997.0,0.33,265.12488457070964,187.73226542929035
Andhra Pradesh,Krishna,2016,458.30768,477566.0,0.33,270.07124422966075,188.23643577033926
Andhra Pradesh,Krishna,2017,428.39999,526626.0,0.33,275.3083787409368,153.0916112590632
Andhra Pradesh,Krishna,2018,467.01694,558862.0,0.33,277.05532958827075,189.96161041172923
Andhra Pradesh,Guntur,2018,398.78824,558862.0,0.33,277.05532958827075,121.73291041172922
Andhra Pradesh,Guntur,2017,365.44446,526626.0,0.33,275.3083787409368,90.13608125906319
Andhra Pradesh,Guntur,2016,282.31647,477566.0,0.33,270.07124422966075,12.245225770339232
Andhra Pradesh,Prakasam,2004,334.56,215455.8737901584,0.24,178.10390473381736,156.45609526618264
Andhra Pradesh,Chittoor,2011,207.91304,339996.0,0.31,236.528408770258,-28.615368770258016
Andhra Pradesh,Chittoor,2014,295.4516,397064.0,0.31,254.05643252628582,41.39516747371417
Andhra Pradesh,Srikakulam,2017,184.92857,526626.0,0.27,275.3083787408355,-90.3798087408355
Andhra Pradesh,Y.S.R.,2017,275.17499,526626.0,0.35,275.30837874097057,-0.13338874097058806
Andhra Pradesh,Y.S.R.,2016,269.72,477566.0,0.35,270.0712442296945,-0.3512442296944869
Andhra Pradesh,Y.S.R.,2015,348.92307,446997.0,0.35,265.1248845707434,83.79818542925659
Andhra Pradesh,Y.S.R.,2014,265.09091,397064.0,0.35,254.05643252635332,11.034477473646689
Andhra Pradesh,Y.S.R.,2013,226.08333,360239.0,0.35,243.36739181653118,-17.284061816531192
Andhra Pradesh,Y.S.R.,2012,173.73334,341335.0,0.35,237.00245278392669,-63.26911278392669
Andhra Pradesh,Y.S.R.,2011,248.33333,339996.0,0.35,236.5284087703255,11.804921229674477
Andhra Pradesh,Y.S.R.,2010,143.0,330210.7804378922,0.35,232.96965839821607,-89.96965839821607
Andhra Pradesh,Y.S.R.,2009,280.89999,309550.5308999029,0.35,224.90167174252613,55.99831825747387
Andhra Pradesh,Y.S.R.,2008,291.89474,289919.74396775843,0.35,216.52298181071805,75.37175818928196
Andhra Pradesh,Y.S.R.,2007,248.71428,282693.9814360441,0.35,213.26035460557216,35.45392539442784
Andhra Pradesh,Chittoor,2015,196.6875,446997.0,0.31,265.1248845706759,-68.43738457067587
Andhra Pradesh,Y.S.R.,2006,288.0,251348.62002359648,0.35,197.96624895344593,90.03375104655407
Andhra Pradesh,Y.S.R.,2004,173.44444,215455.8737901584,0.35,178.10390473400304,-4.659464734003052
Andhra Pradesh,West Godavari,2015,349.09091,446997.0,0.26,265.12488457059146,83.96602542940855
Andhra Pradesh,Chittoor,2004,268.14816,215455.8737901584,0.31,178.10390473393554,90.04425526606448
Andhra Pradesh,Chittoor,2005,283.75,227457.9878258872,0.31,185.03115355956817,98.71884644043183
Andhra Pradesh,Chittoor,2006,181.28947,251348.62002359648,0.31,197.96624895337843,-16.67677895337843
Andhra Pradesh,Chittoor,2007,262.10257,282693.9814360441,0.31,213.26035460550466,48.842215394495355
