state,district,year,chloride,sdp,predicted_chloride,error
Andaman And Nicobar Islands,South Andaman,2018,55.435909,6108.0,167.17010046996407,-111.73419146996406
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,2220.3882250072866,166.88756456351084,-111.63756456351084
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1706.4645875837948,166.85021467130164,-131.16271467130164
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1620.1492276304284,166.84394161990744,-112.54982461990744
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,5091.0,167.09618902162674,-101.17894502162675
Andaman And Nicobar Islands,South Andaman,2016,86.65625,5091.0,167.09618902162674,-80.43993902162674
Andaman And Nicobar Islands,South Andaman,2013,45.815254,3811.0,167.00316379658076,-121.18790979658075
Andaman And Nicobar Islands,South Andaman,2012,51.342857,3558.0,166.98477677944277,-115.64191977944276
Andaman And Nicobar Islands,South Andaman,2011,47.121212,3404.0,166.97358468205442,-119.85237268205442
Andaman And Nicobar Islands,South Andaman,2010,83.5,3139.101136694841,166.9543329036377,-83.45433290363769
Andaman And Nicobar Islands,South Andaman,2009,40.735294,2888.092101428155,166.9360905817672,-126.20079658176718
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,6108.0,167.17010046996407,-136.93333546996408
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1620.1492276304284,166.84394161990744,-96.57470761990744
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1706.4645875837948,166.85021467130164,28.185505328698355
Andaman And Nicobar Islands,South Andaman,2007,313.61539,2220.3882250072866,166.88756456351084,146.72782543648916
Andhra Pradesh,Guntur,2015,275.54236,446997.0,199.21213050535545,76.33022949464453
Andhra Pradesh,Chittoor,2016,277.22916,477566.0,201.43376183694204,75.79539816305794
Andhra Pradesh,Chittoor,2017,276.23334,526626.0,204.99924429065783,71.23409570934217
Andhra Pradesh,Chittoor,2018,237.8125,558862.0,207.3420264426754,30.470473557324596
Andhra Pradesh,West Godavari,2016,206.50685,477566.0,201.43376183694204,5.073088163057946
Andhra Pradesh,Vizianagaram,2008,161.68182,289919.74396775843,187.796390589726,-26.114570589726014
Andhra Pradesh,Vizianagaram,2007,150.78261,282693.9814360441,187.2712513821935,-36.48864138219349
Andhra Pradesh,Vizianagaram,2006,102.0,251348.62002359648,184.99319724192728,-82.99319724192728
Andhra Pradesh,Vizianagaram,2005,160.45833,227457.9878258872,183.2569226820188,-22.798592682018807
Andhra Pradesh,Vizianagaram,2004,211.18182,215455.8737901584,182.38465755764278,28.797162442357205
Andhra Pradesh,Visakhapatanam,2018,148.28302,558862.0,207.3420264426754,-59.05900644267541
Andhra Pradesh,Visakhapatanam,2017,142.44406,526626.0,204.99924429065783,-62.55518429065782
Andhra Pradesh,Visakhapatanam,2016,124.54546,477566.0,201.43376183694204,-76.88830183694203
Andhra Pradesh,Guntur,2012,295.80951,341335.0,191.53304352972322,104.27646647027677
Andhra Pradesh,Guntur,2013,376.5303,360239.0,192.90690982212115,183.62339017787886
Andhra Pradesh,Guntur,2014,353.07693,397064.0,195.58320194112,157.49372805888
Andhra Pradesh,Krishna,2014,414.95081,397064.0,195.58320194112,219.36760805888
Andhra Pradesh,Krishna,2015,452.85715,446997.0,199.21213050535545,253.64501949464454
Andhra Pradesh,Krishna,2016,458.30768,477566.0,201.43376183694204,256.87391816305797
Andhra Pradesh,Krishna,2017,428.39999,526626.0,204.99924429065783,223.40074570934217
Andhra Pradesh,Krishna,2018,467.01694,558862.0,207.3420264426754,259.67491355732454
Andhra Pradesh,Guntur,2018,398.78824,558862.0,207.3420264426754,191.44621355732457
Andhra Pradesh,Guntur,2017,365.44446,526626.0,204.99924429065783,160.44521570934216
Andhra Pradesh,Guntur,2016,282.31647,477566.0,201.43376183694204,80.88270816305794
Andhra Pradesh,Prakasam,2004,334.56,215455.8737901584,182.38465755764278,152.17534244235722
Andhra Pradesh,Chittoor,2011,207.91304,339996.0,191.43573042321026,16.477309576789736
Andhra Pradesh,Chittoor,2014,295.4516,397064.0,195.58320194112,99.86839805887999
Andhra Pradesh,Srikakulam,2017,184.92857,526626.0,204.99924429065783,-20.07067429065782
Andhra Pradesh,Y.S.R.,2017,275.17499,526626.0,204.99924429065783,70.17574570934215
Andhra Pradesh,Y.S.R.,2016,269.72,477566.0,201.43376183694204,68.28623816305799
Andhra Pradesh,Y.S.R.,2015,348.92307,446997.0,199.21213050535545,149.71093949464455
Andhra Pradesh,Y.S.R.,2014,265.09091,397064.0,195.58320194112,69.50770805888001
Andhra Pradesh,Y.S.R.,2013,226.08333,360239.0,192.90690982212115,33.17642017787884
Andhra Pradesh,Y.S.R.,2012,173.73334,341335.0,191.53304352972322,-17.799703529723217
Andhra Pradesh,Y.S.R.,2011,248.33333,339996.0,191.43573042321026,56.89759957678973
Andhra Pradesh,Y.S.R.,2010,143.0,330210.7804378922,190.72458022642158,-47.72458022642158
Andhra Pradesh,Y.S.R.,2009,280.89999,309550.5308999029,189.2230768180015,91.67691318199851
Andhra Pradesh,Y.S.R.,2008,291.89474,289919.74396775843,187.796390589726,104.09834941027401
Andhra Pradesh,Y.S.R.,2007,248.71428,282693.9814360441,187.2712513821935,61.443028617806505
Andhra Pradesh,Chittoor,2015,196.6875,446997.0,199.21213050535545,-2.5246305053554465
Andhra Pradesh,Y.S.R.,2006,288.0,251348.62002359648,184.99319724192728,103.00680275807272
Andhra Pradesh,Y.S.R.,2004,173.44444,215455.8737901584,182.38465755764278,-8.940217557642796
Andhra Pradesh,West Godavari,2015,349.09091,446997.0,199.21213050535545,149.87877949464456
Andhra Pradesh,Chittoor,2004,268.14816,215455.8737901584,182.38465755764278,85.76350244235724
Andhra Pradesh,Chittoor,2005,283.75,227457.9878258872,183.2569226820188,100.4930773179812
Andhra Pradesh,Chittoor,2006,181.28947,251348.62002359648,184.99319724192728,-3.7037272419272824
Andhra Pradesh,Chittoor,2007,262.10257,282693.9814360441,187.2712513821935,74.83131861780652
Andhra Pradesh,Chittoor,2008,187.7027,289919.74396775843,187.796390589726,-0.09369058972600897
Andhra Pradesh,Chittoor,2009,196.4375,309550.5308999029,189.2230768180015,7.214423181998512
Andhra Pradesh,Chittoor,2010,163.27026,330210.7804378922,190.72458022642158,-27.454320226421572
Andhra Pradesh,Krishna,2013,463.04544,360239.0,192.90690982212115,270.1385301778788
Andhra Pradesh,Chittoor,2012,199.52942,341335.0,191.53304352972322,7.996376470276772
Andhra Pradesh,Chittoor,2013,191.58333,360239.0,192.90690982212115,-1.323579822121161
Andhra Pradesh,Y.S.R.,2005,224.90909,227457.9878258872,183.2569226820188,41.652167317981196
Andhra Pradesh,Krishna,2012,378.41666,341335.0,191.53304352972322,186.88361647027676
Andhra Pradesh,Krishna,2004,778.5,215455.8737901584,182.38465755764278,596.1153424423572
Andhra Pradesh,Krishna,2010,422.51999,330210.7804378922,190.72458022642158,231.79540977357843
