state,district,year,chloride,sdp,predicted_chloride,error
Andaman And Nicobar Islands,South Andaman,2018,55.435909,6108.0,6.506227516077519,48.92968148392248
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,2220.3882250072866,2.3762638001766376,52.87373619982336
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1706.4645875837948,1.8273922202033759,33.86010777979662
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1620.1492276304284,1.7351404740203813,52.55897652597962
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,5091.0,5.4295799774037,60.4876640225963
Andaman And Nicobar Islands,South Andaman,2016,86.65625,5091.0,5.4295799774037,81.2266700225963
Andaman And Nicobar Islands,South Andaman,2013,45.815254,3811.0,4.070730866723009,41.74452313327699
Andaman And Nicobar Islands,South Andaman,2012,51.342857,3558.0,3.8016472624649844,47.54120973753502
Andaman And Nicobar Islands,South Andaman,2011,47.121212,3404.0,3.6377766251757704,43.48343537482423
Andaman And Nicobar Islands,South Andaman,2010,83.5,3139.101136694841,3.3557562999137622,80.14424370008624
Andaman And Nicobar Islands,South Andaman,2009,40.735294,2888.092101428155,3.088356923493849,37.646937076506156
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,6108.0,6.506227516077519,23.73053748392248
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1620.1492276304284,1.7351404740203813,68.53409352597961
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1706.4645875837948,1.8273922202033759,193.20832777979663
Andaman And Nicobar Islands,South Andaman,2007,313.61539,2220.3882250072866,2.3762638001766376,311.2391261998234
Andhra Pradesh,Guntur,2015,275.54236,446997.0,258.8964201179388,16.645939882061157
Andhra Pradesh,Chittoor,2016,277.22916,477566.0,263.37018483750205,13.858975162497927
Andhra Pradesh,Chittoor,2017,276.23334,526626.0,267.8646007702688,8.368739229731204
Andhra Pradesh,Chittoor,2018,237.8125,558862.0,269.1381167275198,-31.325616727519787
Andhra Pradesh,West Godavari,2016,206.50685,477566.0,263.37018483750205,-56.863334837502066
Andhra Pradesh,Vizianagaram,2008,161.68182,289919.74396775843,212.74599528349947,-51.06417528349948
Andhra Pradesh,Vizianagaram,2007,150.78261,282693.9814360441,209.5938942340484,-58.8112842340484
Andhra Pradesh,Vizianagaram,2006,102.0,251348.62002359648,194.773719137058,-92.77371913705801
Andhra Pradesh,Vizianagaram,2005,160.45833,227457.9878258872,182.19267250723286,-21.734342507232867
Andhra Pradesh,Vizianagaram,2004,211.18182,215455.8737901584,175.44055204756037,35.741267952439614
Andhra Pradesh,Visakhapatanam,2018,148.28302,558862.0,269.1381167275198,-120.8550967275198
Andhra Pradesh,Visakhapatanam,2017,142.44406,526626.0,267.8646007702688,-125.42054077026879
Andhra Pradesh,Visakhapatanam,2016,124.54546,477566.0,263.37018483750205,-138.82472483750206
Andhra Pradesh,Guntur,2012,295.80951,341335.0,232.4289393567176,63.3805706432824
Andhra Pradesh,Guntur,2013,376.5303,360239.0,238.49799032754788,138.03230967245213
Andhra Pradesh,Guntur,2014,353.07693,397064.0,248.60898540593587,104.46794459406414
Andhra Pradesh,Krishna,2014,414.95081,397064.0,248.60898540593587,166.34182459406412
