state,district,year,chloride,sdp,predicted_chloride,error
Andaman And Nicobar Islands,South Andaman,2018,55.435909,6108.0,0.1058286257587368,55.33008037424126
Andaman And Nicobar Islands,North And Middle Andaman,2007,55.25,2220.3882250072866,0.014063627891285662,55.23593637210872
Andaman And Nicobar Islands,North And Middle Andaman,2005,35.6875,1706.4645875837948,0.008312954095792215,35.67918704590421
Andaman And Nicobar Islands,North And Middle Andaman,2004,54.294117,1620.1492276304284,0.007494191833372836,54.286622808166626
Andaman And Nicobar Islands,North And Middle Andaman,2016,65.917244,5091.0,0.07362898589217054,65.84361501410783
Andaman And Nicobar Islands,South Andaman,2016,86.65625,5091.0,0.07362898589217054,86.58262101410783
Andaman And Nicobar Islands,South Andaman,2013,45.815254,3811.0,0.041335408651105014,45.773918591348895
Andaman And Nicobar Islands,South Andaman,2012,51.342857,3558.0,0.036042474454306674,51.3068145255457
Andaman And Nicobar Islands,South Andaman,2011,47.121212,3404.0,0.03299728452297998,47.08821471547702
Andaman And Nicobar Islands,South Andaman,2010,83.5,3139.101136694841,0.028072137759851488,83.47192786224015
Andaman And Nicobar Islands,South Andaman,2009,40.735294,2888.092101428155,0.023770810865995726,40.711523189134006
Andaman And Nicobar Islands,North And Middle Andaman,2018,30.236765,6108.0,0.1058286257587368,30.130936374241262
Andaman And Nicobar Islands,South Andaman,2004,70.269234,1620.1492276304284,0.007494191833372836,70.26173980816662
Andaman And Nicobar Islands,South Andaman,2005,195.03572,1706.4645875837948,0.008312954095792215,195.0274070459042
Andaman And Nicobar Islands,South Andaman,2007,313.61539,2220.3882250072866,0.014063627891285662,313.6013263721087
Andhra Pradesh,Guntur,2015,275.54236,446997.0,262.5913012843791,12.951058715620889
Andhra Pradesh,Chittoor,2016,277.22916,477566.0,280.4545504629126,-3.225390462912628
Andhra Pradesh,Chittoor,2017,276.23334,526626.0,304.988297311931,-28.75495731193098
Andhra Pradesh,Chittoor,2018,237.8125,558862.0,317.9883049478357,-80.17580494783567
Andhra Pradesh,West Godavari,2016,206.50685,477566.0,280.4545504629126,-73.94770046291262
Andhra Pradesh,Vizianagaram,2008,161.68182,289919.74396775843,150.5913016872886,11.090518312711396
Andhra Pradesh,Vizianagaram,2007,150.78261,282693.9814360441,145.0717148607991,5.710895139200915
Andhra Pradesh,Vizianagaram,2006,102.0,251348.62002359648,121.28822908243771,-19.28822908243771
Andhra Pradesh,Vizianagaram,2005,160.45833,227457.9878258872,103.54893154006986,56.90939845993013
Andhra Pradesh,Vizianagaram,2004,211.18182,215455.8737901584,94.84161875252082,116.34020124747917
Andhra Pradesh,Visakhapatanam,2018,148.28302,558862.0,317.9883049478357,-169.70528494783568
Andhra Pradesh,Visakhapatanam,2017,142.44406,526626.0,304.988297311931,-162.54423731193097
Andhra Pradesh,Visakhapatanam,2016,124.54546,477566.0,280.4545504629126,-155.90909046291262
Andhra Pradesh,Guntur,2012,295.80951,341335.0,189.6113268156786,106.19818318432138
Andhra Pradesh,Guntur,2013,376.5303,360239.0,203.61305455536942,172.9172454446306
Andhra Pradesh,Guntur,2014,353.07693,397064.0,229.89668766094522,123.18024233905479
Andhra Pradesh,Krishna,2014,414.95081,397064.0,229.89668766094522,185.05412233905477
Andhra Pradesh,Krishna,2015,452.85715,446997.0,262.5913012843791,190.2658487156209
Andhra Pradesh,Krishna,2016,458.30768,477566.0,280.4545504629126,177.8531295370874
Andhra Pradesh,Krishna,2017,428.39999,526626.0,304.988297311931,123.41169268806902
Andhra Pradesh,Krishna,2018,467.01694,558862.0,317.9883049478357,149.0286350521643
Andhra Pradesh,Guntur,2018,398.78824,558862.0,317.9883049478357,80.7999350521643
Andhra Pradesh,Guntur,2017,365.44446,526626.0,304.988297311931,60.456162688069014
Andhra Pradesh,Guntur,2016,282.31647,477566.0,280.4545504629126,1.861919537087374
Andhra Pradesh,Prakasam,2004,334.56,215455.8737901584,94.84161875252082,239.7183812474792
Andhra Pradesh,Chittoor,2011,207.91304,339996.0,188.60958192719653,19.303458072803465
Andhra Pradesh,Chittoor,2014,295.4516,397064.0,229.89668766094522,65.55491233905477
Andhra Pradesh,Srikakulam,2017,184.92857,526626.0,304.988297311931,-120.05972731193097
Andhra Pradesh,Y.S.R.,2017,275.17499,526626.0,304.988297311931,-29.813307311931
Andhra Pradesh,Y.S.R.,2016,269.72,477566.0,280.4545504629126,-10.73455046291258
Andhra Pradesh,Y.S.R.,2015,348.92307,446997.0,262.5913012843791,86.33176871562091
Andhra Pradesh,Y.S.R.,2014,265.09091,397064.0,229.89668766094522,35.19422233905479
Andhra Pradesh,Y.S.R.,2013,226.08333,360239.0,203.61305455536942,22.470275444630573
Andhra Pradesh,Y.S.R.,2012,173.73334,341335.0,189.6113268156786,-15.87798681567861
Andhra Pradesh,Y.S.R.,2011,248.33333,339996.0,188.60958192719653,59.72374807280346
Andhra Pradesh,Y.S.R.,2010,143.0,330210.7804378922,181.2558010096948,-38.25580100969481
Andhra Pradesh,Y.S.R.,2009,280.89999,309550.5308999029,165.5812618484897,115.3187281515103
Andhra Pradesh,Y.S.R.,2008,291.89474,289919.74396775843,150.5913016872886,141.30343831271142
Andhra Pradesh,Y.S.R.,2007,248.71428,282693.9814360441,145.0717148607991,103.64256513920091
Andhra Pradesh,Chittoor,2015,196.6875,446997.0,262.5913012843791,-65.90380128437909
Andhra Pradesh,Y.S.R.,2006,288.0,251348.62002359648,121.28822908243771,166.7117709175623
Andhra Pradesh,Y.S.R.,2004,173.44444,215455.8737901584,94.84161875252082,78.60282124747917
Andhra Pradesh,West Godavari,2015,349.09091,446997.0,262.5913012843791,86.49960871562092
Andhra Pradesh,Chittoor,2004,268.14816,215455.8737901584,94.84161875252082,173.3065412474792
Andhra Pradesh,Chittoor,2005,283.75,227457.9878258872,103.54893154006986,180.20106845993013
Andhra Pradesh,Chittoor,2006,181.28947,251348.62002359648,121.28822908243771,60.001240917562285
Andhra Pradesh,Chittoor,2007,262.10257,282693.9814360441,145.0717148607991,117.03085513920092
Andhra Pradesh,Chittoor,2008,187.7027,289919.74396775843,150.5913016872886,37.1113983127114
Andhra Pradesh,Chittoor,2009,196.4375,309550.5308999029,165.5812618484897,30.856238151510297
Andhra Pradesh,Chittoor,2010,163.27026,330210.7804378922,181.2558010096948,-17.9855410096948
Andhra Pradesh,Krishna,2013,463.04544,360239.0,203.61305455536942,259.43238544463054
Andhra Pradesh,Chittoor,2012,199.52942,341335.0,189.6113268156786,9.918093184321378
Andhra Pradesh,Chittoor,2013,191.58333,360239.0,203.61305455536942,-12.029724555369427
Andhra Pradesh,Y.S.R.,2005,224.90909,227457.9878258872,103.54893154006986,121.36015845993013
Andhra Pradesh,Krishna,2012,378.41666,341335.0,189.6113268156786,188.80533318432137
Andhra Pradesh,Krishna,2004,778.5,215455.8737901584,94.84161875252082,683.6583812474792
Andhra Pradesh,Krishna,2010,422.51999,330210.7804378922,181.2558010096948,241.2641889903052
Andhra Pradesh,Anantapur,2004,353.38889,215455.8737901584,94.84161875252082,258.5472712474792
Andhra Pradesh,Visakhapatanam,2007,219.28947,282693.9814360441,145.0717148607991,74.2177551392009
Andhra Pradesh,Visakhapatanam,2006,215.21892,251348.62002359648,121.28822908243771,93.93069091756229
Andhra Pradesh,Visakhapatanam,2005,235.6875,227457.9878258872,103.54893154006986,132.13856845993013
Andhra Pradesh,Visakhapatanam,2004,238.47575,215455.8737901584,94.84161875252082,143.6341312474792
