YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY,TELANGANA
1999,116360.0,1497.0,32011.0,46071.0,5570.0,92541.0,47329.0,12467.0,13533.0,30229.0,90532.0,61359.0,72655.0,23840.0,217198.0,2954.0,3211.0,1410.0,2610.0,38399.0,61139.0,74174.0,765.0,119704.0,4496.0,156809.0,11187.0,125299.0,838.0,3792.0,51175.0,2893.0,0.0
2000,126035.0,1607.0,32821.0,53656.0,5287.0,86431.0,51090.0,13262.0,13917.0,26663.0,91136.0,62909.0,66750.0,22372.0,210526.0,2765.0,3422.0,1463.0,3052.0,37386.0,63172.0,71764.0,814.0,126349.0,4778.0,160015.0,12582.0,129691.0,838.0,4274.0,53177.0,3305.0,0.0
2001,131750.0,1864.0,33668.0,50579.0,5492.0,93455.0,55036.0,13938.0,14185.0,28500.0,92788.0,66052.0,71525.0,25503.0,217963.0,2937.0,3651.0,1555.0,3402.0,39662.0,63995.0,79936.0,881.0,123901.0,5433.0,162926.0,13179.0,139057.0,857.0,4649.0,55222.0,3529.0,0.0
2002,134749.0,1775.0,35708.0,56975.0,5826.0,101603.0,58410.0,14617.0,14907.0,29298.0,97765.0,70885.0,67795.0,25072.0,232994.0,2921.0,3759.0,1705.0,3741.0,39377.0,65085.0,70333.0,947.0,124521.0,5796.0,168198.0,14413.0,143931.0,948.0,5235.0,59454.0,3879.0,0.0
2003,147950.0,1968.0,37905.0,53301.0,6225.0,118525.0,64156.0,15596.0,15673.0,31515.0,99669.0,75479.0,75400.0,29782.0,250989.0,3240.0,3993.0,1760.0,3912.0,45127.0,69149.0,92712.0,1022.0,132281.0,6136.0,177054.0,15553.0,152388.0,1048.0,5804.0,62694.0,4053.0,0.0
2004,158714.0,2222.0,39207.0,60045.0,6891.0,125599.0,69688.0,17076.0,16519.0,36886.0,109775.0,82590.0,77874.0,31377.0,272860.0,3540.0,4270.0,1839.0,4100.0,51020.0,72587.0,90445.0,1102.0,147994.0,6639.0,185920.0,17599.0,162491.0,1088.0,6397.0,69479.0,3500.0,79916.0
2005,167555.26987840646,2286.8199498117942,40387.838621478986,58549.15922014622,7465.51104645877,143830.23092328678,75983.37510148222,18542.719524281467,17284.24132749442,35232.748567551265,121069.21330070127,91043.22554783539,81797.30988593157,31889.500350351558,312392.0067671469,3773.795350858136,4603.799178925761,1974.62625,4527.319682715366,53284.8206274729,76146.0457797185,96520.3832700025,1212.127068166777,169349.5544527357,7076.182619339045,196772.01944344648,20094.192031586506,172722.09533281764,1145.9644825474586,7096.382917214191,76635.44629791906,4433.240611961057,92751.0
2006,185154.13006227964,2410.186951066499,42211.864500540476,68682.02573859507,8197.902991181018,155994.59231997211,84622.64387279349,20001.380150077868,18293.452086553323,35822.996871230396,133657.2938028226,98236.03449263191,89254.32589553733,37956.1095271462,355420.8289214454,3839.165761459917,4950.74580910024,2063.51125,4881.27651724774,59918.68886698928,84358.3205277094,107881.01273127597,1283.6002647253474,195867.64586743785,7685.63794369645,212401.0197853949,22515.159996410624,186279.4723910561,1351.8383343539497,8145.457293035479,86150.23360114869,4599.443671766342,102977.0
2007,208244.46222031832,2699.4372647427854,44015.94658866917,72237.64269528411,8555.01454677698,174440.1796476359,91246.97232724827,21244.868186323092,19423.22913446677,43802.82022768396,150429.59174068272,107002.98474841568,93472.17622573544,41024.288399739045,396788.2581893558,4050.6582663480335,5106.323982210059,2289.555,5277.587161040398,65056.935002279846,91663.55281739212,112796.08291310062,1357.990734612839,208136.98241627723,8192.70477356181,226014.12775019585,26450.61477027997,200772.31274173944,1491.0863441518677,8746.489487516425,95861.6104500776,4963.143254520167,113456.0
2008,213567.2675552773,2921.0796737766623,46637.72410504228,83250.21420325794,9227.261387398856,181896.72028560645,98272.18742316346,22282.0484213507,20639.530224969945,42041.80850422195,161131.120864122,113582.53283194626,105289.63754252552,43715.67337569768,403020.8781075771,4346.747773191397,5762.235716729388,2633.60125,5613.392363032651,69946.03585979673,96745.01372694755,122281.74278205902,1535.944407677035,219145.29957396266,9057.318727050184,243188.2432075627,29266.39160086145,208864.8397981361,1718.2804654011022,9403.842181340342,107802.22472206679,5418.636995827538,128918.0
